組付数,459,,,,,,,,
組付番号,親部品,子部品,組立部品,ASP,,,０度方向,組付方向,接触線番号
,,,,ASP-X,ASP-Y,ASP-Z,,,
350,43,13,20,0,90,1040,前上,上,16
351,165,13,136,0,90,1040,前上,上,16
352,174,13,137,0,90,1040,前上,上,16
353,173,13,133,0,90,1040,前上,上,16
354,184,13,161,0,90,1040,前上,上,16
355,98,13,59,0,90,1040,前上,上,16
356,24,13,16,0,90,1040,前上,上,16
357,194,13,166,0,90,1040,前上,上,16
358,131,13,72,0,90,1040,前上,上,16
359,227,13,215,0,90,1040,前上,上,16
360,80,13,51,0,90,1040,前上,上,16
361,99,13,58,0,90,1040,前上,上,16
362,192,13,163,0,90,1040,前上,上,16
363,14,199,172,0,90,1040,奥上,上,4
364,14,227,206,0,90,1040,奥上,上,4
365,215,14,182,0,90,1040,奥下,上,17
366,198,199,54,0,90,1040,奥上,上,4
367,177,199,32,0,90,1040,奥上,上,4
368,179,199,42,0,90,1040,奥上,上,4
369,181,199,41,0,90,1040,奥上,上,4
370,126,199,18,0,90,1040,奥上,上,4
371,111,199,17,0,90,1040,奥上,上,4
372,157,199,26,0,90,1040,奥上,上,4
373,132,199,19,0,90,1040,奥上,上,4
374,160,199,28,0,90,1040,奥上,上,4
375,96,199,15,0,90,1040,奥上,上,4
376,155,199,25,0,90,1040,奥上,上,4
377,151,199,23,0,90,1040,奥上,上,4
378,204,199,73,0,90,1040,奥上,上,4
379,215,204,101,0,90,1040,奥下,上,17
380,181,215,58,0,90,1040,奥上,上,4
381,179,215,59,0,90,1040,奥上,上,4
382,215,96,16,0,90,1040,奥下,上,17
383,215,177,51,0,90,1040,奥下,上,17
384,160,215,36,0,90,1040,奥上,上,4
385,215,151,34,0,90,1040,奥下,上,17
386,215,155,30,0,90,1040,奥下,上,17
387,111,215,20,0,90,1040,奥上,上,4
388,132,215,27,0,90,1040,奥上,上,4
389,215,126,21,0,90,1040,奥下,上,17
390,198,215,72,0,90,1040,奥上,上,4
391,157,215,35,0,90,1040,奥上,上,4
392,218,215,133,0,90,1040,奥上,上,4
393,218,199,102,0,90,1040,奥上,上,4
394,222,199,106,0,90,1040,奥上,上,4
395,215,222,137,0,90,1040,奥下,上,17
396,225,199,107,0,90,1040,奥上,上,4
397,215,225,136,0,90,1040,奥下,上,17
398,225,227,165,0,90,1040,奥上,上,4
399,222,227,174,0,90,1040,奥上,上,4
400,96,227,24,0,90,1040,奥上,上,4
401,218,227,173,0,90,1040,奥上,上,4
402,132,227,44,0,90,1040,奥上,上,4
403,111,227,43,0,90,1040,奥上,上,4
404,204,227,143,0,90,1040,奥上,上,4
405,126,227,40,0,90,1040,奥上,上,4
406,198,227,131,0,90,1040,奥上,上,4
407,179,227,98,0,90,1040,奥上,上,4
408,181,227,99,0,90,1040,奥上,上,4
409,151,227,68,0,90,1040,奥上,上,4
410,160,227,67,0,90,1040,奥上,上,4
411,155,227,65,0,90,1040,奥上,上,4
412,177,227,80,0,90,1040,奥上,上,4
413,157,227,64,0,90,1040,奥上,上,4
414,215,228,161,0,90,1040,奥下,上,17
415,228,227,184,0,90,1040,奥上,上,4
416,228,199,140,0,90,1040,奥上,上,4
417,215,230,163,0,90,1040,奥下,上,17
418,230,199,138,0,90,1040,奥上,上,4
419,230,227,192,0,90,1040,奥上,上,4
420,232,199,139,0,90,1040,奥上,上,4
421,215,232,166,0,90,1040,奥下,上,17
422,232,227,194,0,90,1040,奥上,上,4
423,68,234,23,0,90,1040,前上,上,16
424,131,234,54,0,90,1040,前上,上,16
425,67,234,28,0,90,1040,前上,上,16
