製品名,Eモダン,,,,,,,,,,,,,,,
組付け数,459,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
組付け番号,部品1,部品2,組立部品,部品非対称,位置決め複数,視認性・X+,視認性・Z+,視認性・親子逆・X+,視認性・親子逆・Z+,接触有効空間（可）,接触有効空間（不可）,接触点,特殊組付け,方向注意,組付け力,組付け不可
211,8,136,109,0,0,0,1,0,0,0,0,0,0,0,0,0
212,8,133,100,0,0,0,1,0,0,0,0,0,0,0,0,0
213,8,137,103,0,0,0,1,0,0,0,0,0,0,0,0,0
214,8,143,113,0,0,0,1,0,0,0,0,0,0,0,0,0
215,8,184,164,0,0,0,1,0,0,0,0,0,0,0,0,0
216,8,182,162,0,0,0,1,0,0,0,0,0,0,0,0,0
217,8,204,185,0,0,0,1,0,0,0,0,0,0,0,0,0
218,8,172,147,0,0,0,1,0,0,0,0,0,0,0,0,0
219,8,14,231,0,0,0,1,0,0,0,0,0,0,0,0,0
220,8,192,175,0,0,0,1,0,0,0,0,0,0,0,0,0
221,8,165,150,0,0,0,1,0,0,0,0,0,0,0,0,0
222,8,166,142,0,0,0,1,0,0,0,0,0,0,0,0,0
223,8,163,135,0,0,0,1,0,0,0,0,0,0,0,0,0
224,8,174,146,0,0,0,1,0,0,0,0,0,0,0,0,0
225,8,173,145,0,0,0,1,0,0,0,0,0,0,0,0,0
226,9,34,21,0,1,0,1,0,0,0,0,1,0,0,1,0
227,9,43,24,0,1,0,1,0,0,0,0,1,0,0,1,0
228,9,35,27,0,1,0,1,0,0,0,0,1,0,0,1,0
229,9,194,165,0,1,0,1,0,0,0,0,1,0,0,1,0
230,9,184,173,0,1,0,1,0,0,0,0,1,0,0,1,0
231,9,172,138,0,1,0,1,0,0,0,0,1,0,0,1,0
232,9,174,143,0,1,0,1,0,0,0,0,1,0,0,1,0
233,9,179,160,0,1,0,1,0,0,0,0,1,0,0,1,0
234,9,206,192,0,1,0,1,0,0,0,0,1,0,0,1,0
235,9,23,18,0,1,0,1,0,0,0,0,1,0,0,1,0
236,9,26,19,0,1,0,1,0,0,0,0,1,0,0,1,0
237,9,20,16,0,1,0,1,0,0,0,0,1,0,0,1,0
238,9,177,155,0,1,0,1,0,0,0,0,1,0,0,1,0
239,9,111,96,0,1,0,1,0,0,0,0,1,0,0,1,0
240,9,131,99,0,1,0,1,0,0,0,0,1,0,0,1,0
241,9,106,73,0,1,0,1,0,0,0,0,1,0,0,1,0
242,9,198,181,0,1,0,1,0,0,0,0,1,0,0,1,0
243,9,166,136,0,1,0,1,0,0,0,0,1,0,0,1,0
244,9,161,133,0,1,0,1,0,0,0,0,1,0,0,1,0
245,9,182,163,0,1,0,1,0,0,0,0,1,0,0,1,0
246,9,54,41,0,1,0,1,0,0,0,0,1,0,0,1,0
247,9,68,40,0,1,0,1,0,0,0,0,1,0,0,1,0
248,9,64,44,0,1,0,1,0,0,0,0,1,0,0,1,0
249,9,140,102,0,1,0,1,0,0,0,0,1,0,0,1,0
250,9,151,126,0,1,0,1,0,0,0,0,1,0,0,1,0
251,9,137,101,0,1,0,1,0,0,0,0,1,0,0,1,0
252,9,232,225,0,1,0,1,0,0,0,0,1,0,0,1,0
253,9,157,132,0,1,0,1,0,0,0,0,1,0,0,1,0
254,9,228,218,0,1,0,1,0,0,0,0,1,0,0,1,0
255,9,59,36,0,1,0,1,0,0,0,0,1,0,0,1,0
256,9,51,30,0,1,0,1,0,0,0,0,1,0,0,1,0
257,9,72,58,0,1,0,1,0,0,0,0,1,0,0,1,0
258,9,222,204,0,1,0,1,0,0,0,0,1,0,0,1,0
259,9,17,15,0,1,0,1,0,0,0,0,1,0,0,1,0
260,9,14,230,0,1,0,1,0,0,0,0,1,0,0,1,0
261,9,42,28,0,1,0,1,0,0,0,0,1,0,0,1,0
262,9,139,107,0,1,0,1,0,0,0,0,1,0,0,1,0
263,9,32,25,0,1,0,1,0,0,0,0,1,0,0,1,0
264,9,98,67,0,1,0,1,0,0,0,0,1,0,0,1,0
265,9,80,65,0,1,0,1,0,0,0,0,1,0,0,1,0
266,10,98,64,0,0,0,0,0,0,0,0,0,0,0,0,0
267,10,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0
268,10,160,132,0,0,0,0,0,0,0,0,0,0,0,0,0
269,10,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0
271,10,151,111,0,0,0,0,0,0,0,0,0,0,0,0,0
272,10,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0
273,10,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0
274,10,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0
275,10,34,20,0,0,0,0,0,0,0,0,0,0,0,0,0
276,10,126,96,0,0,0,0,0,0,0,0,0,0,0,0,0
277,10,179,157,0,0,0,0,0,0,0,0,0,0,0,0,0
278,10,59,35,0,0,0,0,0,0,0,0,0,0,0,0,0
279,10,42,26,0,0,0,0,0,0,0,0,0,0,0,0,0
280,10,67,44,0,0,0,0,0,0,0,0,0,0,0,0,0
281,10,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0
282,11,230,220,1,1,0,1,0,1,0,0,1,0,0,0,0
283,11,228,216,1,1,0,1,0,1,0,0,1,0,0,0,0
284,11,232,219,1,1,0,1,0,1,0,0,1,0,0,0,0
285,11,96,63,1,1,0,1,0,1,0,0,1,0,0,0,0
286,11,198,176,1,1,0,1,0,1,0,0,1,0,0,0,0
287,11,14,229,1,1,0,1,0,1,0,0,1,0,0,0,0
288,11,225,205,1,1,0,1,0,1,0,0,1,0,0,0,0
289,11,177,149,1,1,0,1,0,1,0,0,1,0,0,0,0
290,11,179,156,1,1,0,1,0,1,0,0,1,0,0,0,0
291,11,181,152,1,1,0,1,0,1,0,0,1,0,0,0,0
292,11,222,202,1,1,0,1,0,1,0,0,1,0,0,0,0
293,11,151,125,1,1,0,1,0,1,0,0,1,0,0,0,0
294,11,160,114,1,1,0,1,0,1,0,0,1,0,0,0,0
295,11,155,120,1,1,0,1,0,1,0,0,1,0,0,0,0
296,11,218,200,1,1,0,1,0,1,0,0,1,0,0,0,0
297,11,157,129,1,1,0,1,0,1,0,0,1,0,0,0,0
298,11,111,89,1,1,0,1,0,1,0,0,1,0,0,0,0
299,11,204,183,1,1,0,1,0,1,0,0,1,0,0,0,0
300,11,126,83,1,1,0,1,0,1,0,0,1,0,0,0,0
301,11,132,82,1,1,0,1,0,1,0,0,1,0,0,0,0
302,12,58,30,0,0,0,1,0,0,0,0,0,1,0,1,0
303,12,59,34,0,0,0,1,0,0,0,0,0,1,0,1,0
304,12,19,15,0,0,0,1,0,0,0,0,0,1,0,1,0
305,12,41,25,0,0,0,1,0,0,0,0,0,1,0,1,0
306,12,35,20,0,0,0,1,0,0,0,0,0,1,0,1,0
307,12,232,222,0,0,0,1,0,0,0,0,0,1,0,1,0
308,12,44,24,0,0,0,1,0,0,0,0,0,1,0,1,0
309,12,36,21,0,0,0,1,0,0,0,0,0,1,0,1,0
310,12,14,228,0,0,0,1,0,0,0,0,0,1,0,1,0
311,12,26,17,0,0,0,1,0,0,0,0,0,1,0,1,0
312,12,42,23,0,0,0,1,0,0,0,0,0,1,0,1,0
313,12,27,16,0,0,0,1,0,0,0,0,0,1,0,1,0
314,12,67,40,0,0,0,1,0,0,0,0,0,1,0,1,0
315,12,64,43,0,0,0,1,0,0,0,0,0,1,0,1,0
316,12,28,18,0,0,0,1,0,0,0,0,0,1,0,1,0
317,12,54,32,0,0,0,1,0,0,0,0,0,1,0,1,0
318,12,194,174,0,0,0,1,0,0,0,0,0,1,0,1,0
319,12,192,173,0,0,0,1,0,0,0,0,0,1,0,1,0
320,12,198,177,0,0,0,1,0,0,0,0,0,1,0,1,0
321,12,160,126,0,0,0,1,0,0,0,0,0,1,0,1,0
322,12,98,68,0,0,0,1,0,0,0,0,0,1,0,1,0
323,12,230,218,0,0,0,1,0,0,0,0,0,1,0,1,0
324,12,138,102,0,0,0,1,0,0,0,0,0,1,0,1,0
325,12,225,204,0,0,0,1,0,0,0,0,0,1,0,1,0
326,12,136,101,0,0,0,1,0,0,0,0,0,1,0,1,0
327,12,157,111,0,0,0,1,0,0,0,0,0,1,0,1,0
328,12,107,73,0,0,0,1,0,0,0,0,0,1,0,1,0
329,12,182,161,0,0,0,1,0,0,0,0,0,1,0,1,0
330,12,132,96,0,0,0,1,0,0,0,0,0,1,0,1,0
331,12,131,80,0,0,0,1,0,0,0,0,0,1,0,1,0
332,12,99,65,0,0,0,1,0,0,0,0,0,1,0,1,0
333,12,165,143,0,0,0,1,0,0,0,0,0,1,0,1,0
334,12,172,140,0,0,0,1,0,0,0,0,0,1,0,1,0
335,12,179,151,0,0,0,1,0,0,0,0,0,1,0,1,0
336,12,163,133,0,0,0,1,0,0,0,0,0,1,0,1,0
