組付番号,存在フラグ,部品1,部品2,組立部品,部品1の構成部品,,,,,,,,,,,,,,部品2の構成部品,,,,,,,,,,,,,,組立部品の構成部品,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
69,1,3,108,77,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,0,0,11,12,13,14,0,2,3,0,5,0,7,8,0,0,11,12,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,1,3,112,87,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,7,8,0,0,11,0,13,14,0,2,3,0,5,6,7,8,0,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,1,3,110,86,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,8,9,0,11,0,13,14,0,2,3,0,5,0,7,8,9,0,11,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,1,3,211,195,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,14,0,0,3,0,0,6,7,8,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,1,3,226,214,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,14,0,0,3,0,0,0,7,8,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,1,3,210,197,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,0,0,0,14,0,0,3,0,0,0,7,8,9,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,1,3,203,190,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,12,0,14,0,0,3,0,0,0,7,8,0,0,0,12,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,1,4,60,42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,6,7,8,0,0,11,0,13,14,1,2,3,4,5,6,7,8,0,0,11,0,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
77,1,4,53,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,7,8,9,0,11,0,13,14,1,2,3,4,5,0,7,8,9,0,11,0,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
78,1,4,57,36,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,9,0,11,0,13,14,0,2,3,4,5,6,7,8,9,0,11,0,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
